PROSODY,PROSODY_ID
فاعلُ فاعلُ فاعلُ فاعلُ فع,2
فاعلات فع فاعلات فع,3
فاعلات فع فاعلات فع فاعلات فع فاعلات فع,4
فاعلات فعلن فاعلات فعلن,5
فاعلات مفتعلن فاعلات مفتعلن,6
فاعلات مفتعلن فعلن,7
فاعلات مفعولن فاعلات مفتعلن,8
فاعلات مفعولن فاعلات مفعولن,9
فاعلاتن فاعلاتن فاعلاتن,10
فاعلاتن فاعلاتن فاعلاتن فاعلاتن ,11
فاعلاتن فاعلاتن فاعلاتن فاعلن ,12
فاعلاتن فاعلاتن فاعلاتن فاعلن فاعلاتن فاعلن,13
فاعلاتن فاعلاتن فاعلاتن فع ,14
فاعلاتن فاعلاتن فاعلن ,16
فاعلاتن فاعلاتن فع فاعلاتن,17
فاعلاتن فاعلن فاعلاتن فاعلن,18
فاعلاتن فع فاعلاتن فع,19
فاعلاتن فع مفاعلتن,20
فاعلاتن فعولن فعولن,21
فاعلاتن مفاعلن فاعلاتن مفاعلن,22
فاعلن فاعلاتن فاعلن فاعلاتن,23
فاعلن فاعلن فاعلاتن,24
فاعلن فاعلن فاعلن فاعلن,25
فاعلن فاعلن فاعلن فع,26
فاعلن فعل فاعلن فعل,27
فاعلن مفاعلن فع فاعلن مفاعلن فع,30
فاعلن مفاعیلن فاعلن مفاعیلن ,31
فاعلن مفعولن فاعلن مفعولن,32
فعلات فاعلاتن فعلات فاعلاتن ,33
فعلات فاعلاتن فعلات فاعلن,34
فعلات فاعلاتن فعلات فعلن,35
فعلات فع فعلات فع فعلات فع فعلات فع,36
فعلات فع لن فعلات فع لن,37
فعلات فعلن فعلات فعلن,38
فعلات مستفعل فع فعلات مستفعل فع,39
فعلاتن فعلاتن فعل,41
فعلاتن فعلاتن فعلاتن,42
فعلاتن فعلاتن فعلاتن فع,43
فعلاتن فعلاتن فعلاتن فعلاتن ,44
فعلاتن فعلاتن فعلاتن فعلن ,45
فعلاتن فعلاتن فعلاتن فعلن فعلاتن فعلن,46
فعلاتن فعلاتن فعلن ,47
فعلاتن فعلن فعلاتن فعلن,48
فعلاتن مفاعلن فع فعلاتن مفاعلن فع,49
فعلاتن مفاعلن فعلاتن,50
فعلاتن مفاعلن فعلاتن مفاعلن,51
فعلاتن مفاعلن فعلن ,52
فعولن فعولن فعولن,53
فعولن فعولن فعولن فعل ,54
فعولن فعولن فعولن فعولن ,55
فعولن فعولن فعولن فعولن فعولن,56
فعولن فعولن فعولن فعولن فعولن فعل,57
فعولن فعولن مفاعلن,58
فعولن مفاعلن فعولن مفاعلن,59
فعولن مفاعلن مفاعیلن,60
فعولن مفاعیلن فعولن مفاعیلن,61
متفاعلاتن متفاعلاتن,62
متفاعلتن متفاعلتن,63
متفاعلتن متفاعلتن متفاعلتن متفاعلتن,64
متفاعلن فعولن متفاعلن فعولن,65
متفاعلن متفاعلن,66
متفاعلن متفاعلن متفاعلن,67
متفاعلن متفاعلن متفاعلن متفاعلن,68
متفعلن متفعلن متفعلن متفعلن,69
مستفعلتن مستفعلتن,70
مستفعلن فاعلاتن مستفعلن فاعلاتن,71
مستفعلن فع مستفعلن فع ,72
مستفعلن فعلاتن فع,74
مستفعلن فعلاتن مستفعلن فعلاتن,75
مستفعلن فعلن مستفعلن فعلن ,76
مستفعلن مستفعلن,77
مستفعلن مستفعلن فاعلن,78
مستفعلن مستفعلن فع,79
مستفعلن مستفعلن فعولن,80
مستفعلن مستفعلن مستفعلن,81
مستفعلن مستفعلن مستفعلن فع,82
مستفعلن مستفعلن مستفعلن مستفعلن ,83
مستفعلن مستفعلن مفعولن,84
مستفعلن مفعولن مستفعلن فع لن,85
مفاعلتن مفاعلتن مفاعلتن مفاعلتن,87
مفاعلن فاعلن مفاعلن فاعلن,88
مفاعلن فع مفاعلن فع,89
مفاعلن فع مفاعلن فع مفاعلن فع مفاعلن فع,90
مفاعلن فعلاتن مفاعلن فعلاتن ,91
مفاعلن فعلاتن مفاعلن فعلن ,92
مفاعلن فعولن مفاعلن فعولن,93
مفاعلن مفاعلن مفاعلن,94
مفاعلن مفاعلن مفاعلن مفاعلن,95
مفاعلن مفعولن مفاعلن مفعولن,96
مفاعیل فاعلات مفاعیل فاعلن,97
مفاعیل فاعلات مفعول فاعلن,98
مفاعیل فاعلن,99
مفاعیل فعولن مفاعلن,100
مفاعیل فعولن مفاعیل فعولن,101
مفاعیل مفاعیل فاعلن,102
مفاعیل مفاعیل فعولن,103
مفاعیل مفاعیل مفاعیل فعولن,104
مفاعیل مفاعیل مفاعیل فعولن ,105
مفاعیل مفتعلن فع مفاعیل مفتعلن فع,106
مفاعیلن فعولن مفاعیلن فعولن,107
مفاعیلن مفاعیلن,108
مفاعیلن مفاعیلن فعولن ,109
مفاعیلن مفاعیلن فعولن فعلاتن,110
مفاعیلن مفاعیلن مفاعیلن,111
مفاعیلن مفاعیلن مفاعیلن فعل,112
مفاعیلن مفاعیلن مفاعیلن فعولن,113
مفاعیلن مفاعیلن مفاعیلن مفاعیلن ,114
مفتعلات فاعلن مفتعلات فاعلن,115
مفتعلن فاعلات مفتعلن,116
مفتعلن فاعلات مفتعلن فع ,117
مفتعلن فاعلن مفتعلن فاعلن ,118
مفتعلن فع مفاعلن فع,119
مفتعلن فع مفتعلن فع,120
مفتعلن فع مفتعلن فع مفتعلن فع مفتعلن فع,121
مفتعلن فع مفتعلن مفتعلن فع مفتعلن,122
مفتعلن فعولن مفتعلن فعولن,126
مفتعلن مفاعلن مفتعلن مفاعلن ,127
مفتعلن مفتعلن فاعلن ,128
مفتعلن مفتعلن فاعلن فعل,129
مفتعلن مفتعلن فع مفتعلن مفتعلن فع,130
مفتعلن مفتعلن فعولن فعولن,131
مفتعلن مفتعلن مفتعلن,132
مفتعلن مفتعلن مفتعلن فع,133
مفتعلن مفتعلن مفتعلن مفتعلن ,134
مفتعلن مفتعلن مفعول مفاعیلن,135
مفعول فاعلات فعل,137
مفعول فاعلات فعولن,138
مفعول فاعلات مفاعیل فاعلاتن,139
مفعول فاعلات مفاعیل فاعلن ,140
مفعول فاعلات مفاعیل فع,141
مفعول فاعلات مفاعیلن,142
مفعول فاعلات مفاعیلن ,143
مفعول فاعلات مفعولن,144
مفعول فاعلاتن مفاعیلن,146
مفعول فاعلاتن مفعول فاعلاتن ,147
مفعول فاعلاتن مفعول فاعلن,148
مفعول فاعلاتن مفعول فع,149
مفعول فاعلاتن مفعولن,150
مفعول فاعلن مفعول فاعلن,151
مفعول فعل مفعول فعل,152
مفعول مفاعلن فعولن ,154
مفعول مفاعلن مفاعلن فاع ,155
مفعول مفاعلن مفاعیلن ,156
مفعول مفاعلن مفعول مفاعلن,157
مفعول مفاعلن مفعولن,158
مفعول مفاعیل فاعلاتن,159
مفعول مفاعیل فاعلن,160
مفعول مفاعیل فعولن مفعولن,161
مفعول مفاعیل مفاعیل فعل ,162
مفعول مفاعیل مفاعیل فعولن ,163
مفعول مفاعیل مفتعلن,166
مفعول مفاعیلن فعل,167
مفعول مفاعیلن فعلن,168
مفعول مفاعیلن مفعول مفاعیلن ,169
مفعول مفتعلن مفعول مفتعلن,170
مفعول مفعول فاعلاتن,171
مفعول مفعولن مفاعیلن فعولن,173
مفعولن فع مفعولن فع,174
مفعولن مفعولن مفعولن مفعولن,176
